trip_id,vehicle_id,driver_name,start_time,end_time,distance_km,fuel_used_
1001,TRK-01,Omar Hassan,2026-09-14 06:00,2026-09-14 09:30,210.5,68.2,Cair
1002,TRK-02,Mona Adel,2026-09-14 06:15,2026-09-14 10:00,245.0,79.5,Alexan
1003,TRK-01,Omar Hassan,2026-09-15 06:00,2026-09-15 08:45,150.0,49.0,Cair
1004,TRK-03,Karim Fathy,2026-09-15 07:00,2026-09-15 11:20,300.2,95.4,Giza
1005,TRK-02,Mona Adel,2026-09-15 06:30,2026-09-15 09:10,180.7,58.1,Alexan
1006,TRK-04,Sara Nabil,2026-09-16 05:45,2026-09-16 10:30,320.0,101.2,Cair
1007,TRK-01,Omar Hassan,2026-09-16 06:00,2026-09-16 08:00,120.4,40.0,Cair
1008,TRK-03,Karim Fathy,2026-09-16 07:15,2026-09-16 12:00,290.6,92.8,Giza
1009,TRK-05,Yara Samir,2026-09-17 06:00,2026-09-17 09:45,205.3,66.9,Alexa
1010,TRK-04,Sara Nabil,2026-09-17 06:20,2026-09-17 10:50,275.9,88.3,Cairo
